Memcached with T =1 thread, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      310.2   124.4    80.4   142.1   160.5   294.6   365.2   399.4   422.7   448.3   478.2   522.8   607.9   713.4  1753.0  34757.1    35000  1778111064559  1778111066760
read      326.6   146.0    74.4   137.7   154.5   306.0   389.2   430.6   458.5   490.0   528.3   583.6   692.5   863.5  1617.0  44965.5    45000  1778111068265  1778111070468
read      346.1   174.0    74.4   138.5   156.4   311.5   405.4   458.4   495.2   535.8   584.3   656.6   827.8  1125.3  2011.9  54943.4    55000  1778111071972  1778111074171
read      338.7   189.3    74.4   135.2   151.6   283.0   392.5   459.9   501.5   544.8   595.4   673.5   869.2  1323.9  3138.7  65139.0    65000  1778111075676  1778111077875
read      481.7   525.0    80.4   149.5   170.8   323.9   437.5   534.8   611.4   709.7   890.6  1282.0  2863.3  4250.7  9704.9  74950.6    75000  1778111079379  1778111081579
read      954.1  1213.5   101.3   269.3   295.1   435.0   620.3   687.5   742.6  3234.2  3408.0  3614.5  3978.5  8023.6 10180.0  70282.5    85000  1778111083083  1778111085284
read      875.3  1187.0    93.8   239.1   263.7   414.0   550.1   609.4   658.1   782.9  3368.5  3581.2  3935.2  8029.1  9986.2  76886.5    95000  1778111086788  1778111088988
read      927.5  1201.7   101.3   259.7   283.6   424.6   598.6   665.6   721.9  2795.1  3396.8  3602.6  3952.6  8018.8 10033.1  72502.5   105000  1778111090492  1778111092691
read      904.7  1184.7    93.8   249.0   274.9   421.9   579.6   638.6   687.8  1552.4  3388.4  3592.4  3825.9  7993.3  9596.5  74154.5   115000  1778111094195  1778111096392
read      958.5  1224.8    93.8   263.4   290.9   439.9   613.5   693.2   759.9  3241.8  3419.9  3628.5  3992.5  8099.7 10365.5  70198.0   125000  1778111097897  1778111100098
run 3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      240.5   129.9   101.3   161.1   172.2   227.2   251.3   265.5   274.9   289.6   310.2   347.6   439.1  1381.9  5980.7   5021.0     5000  1778111108495  1778111110747
read      273.1    97.4    80.4   153.0   171.6   262.3   300.5   323.3   339.8   359.5   384.5   424.0   507.9   710.7  2989.8  15066.5    15000  1778111112251  1778111114487
read      306.7   122.2    86.8   149.1   168.5   296.5   355.5   384.0   402.5   424.8   451.8   491.4   565.9   691.5  3109.7  25114.6    25000  1778111115992  1778111118190
read      310.9   128.7    80.4   143.6   161.5   294.0   365.8   400.7   424.0   449.9   480.9   526.4   613.0   760.7  2035.2  35054.5    35000  1778111119694  1778111121899
read      320.1   149.2    74.4   138.0   154.2   297.1   377.2   419.3   448.4   480.0   517.2   570.1   676.3   865.8  3231.6  45056.3    45000  1778111123403  1778111125602
